"","stand","ac_type","ac_type_long","updated_at"
"1","A-10","763","767-300",2022-02-01 23:15:36
"2","A-10","762","767-200",2022-02-01 23:15:43
"3","A-10","333","A330-300",2022-02-01 23:15:37
"4","A-10","332","A330-200",2022-02-01 23:15:37
"5","A-10","76W","767-300 (winglets)",2022-02-01 23:15:38
"6","A-10","781","BOEING 787-10",2022-02-01 23:15:38
"7","A-10","359","A350-900",2022-02-01 23:15:39
"8","A-10","358","A350-800",2022-02-01 23:15:39
"9","A-10","346","A340-600",2022-02-01 23:15:39
"10","A-10","345","A340-500",2022-02-01 23:15:40
"11","A-10","343","A340-300",2022-02-01 23:15:40
"12","A-10","788","787-8",2022-02-01 23:15:41
"13","A-10","77W","777-300ER",2022-02-01 23:15:41
"14","A-10","773","777-300",2022-02-01 23:15:41
"15","A-10","772","777-200",2022-02-01 23:15:41
"16","A-10","77L","777-200LR",2022-02-01 23:15:41
"17","A-10","342","A340-200",2022-02-01 23:15:42
"18","A-10","339","Airbus A330-900",2022-02-01 23:15:42
"19","A-10","338","None",2022-02-01 23:15:42
"20","A-10","789","787-9",2022-02-01 23:15:43
"21","A-10","351","A350-1000",2022-02-01 23:15:43
"22","A-10","764","767-400",2022-02-01 23:15:36
"23","A-11A","739","737-900",2021-03-24 23:15:40
"24","A-11A","7M7","Boeing 737 MAX 7",2021-09-23 23:16:00
"25","A-11A","73H","737-800 (winglets)",2021-03-24 23:15:41
"26","A-11A","73J","737-900 (winglets)",2021-03-24 23:15:41
"27","A-11A","73W","737-700 (winglets)",2021-03-24 23:15:41
"28","A-11A","E70","EMB 170",2021-03-24 23:15:41
"29","A-11A","E75","EMB 175",2021-03-24 23:15:41
"30","A-11A","E90","EMB 190",2021-03-24 23:15:41
"31","A-11A","E95","EMB 195",2021-03-24 23:15:41
"32","A-11A","32B","Airbus A321 Sharklets",2021-03-24 23:15:41
"33","A-11A","32A","Airbus A320 Sharklets",2021-03-24 23:15:41
"34","A-11A","221","Airbus A221",2021-03-24 23:15:42
"35","A-11A","223","Airbus A223",2021-03-24 23:15:42
"36","A-11A","7M8","Boeing 737 MAX 8",2021-03-24 23:15:42
"37","A-11A","7M9","Boeing 737 MAX 9",2021-03-24 23:15:42
"38","A-11A","E7W","EMB 175 winglets",2021-03-24 23:15:42
"39","A-11A","319","A319",2021-03-24 23:15:40
"40","A-11A","320","A320-100/200",2021-03-24 23:15:40
"41","A-11A","321","A321-100/200",2021-03-24 23:15:40
"42","A-11A","717","717",2021-03-24 23:15:40
"43","A-11A","738","737-800",2021-03-24 23:15:40
"44","A-11A","73G","737-700",2021-03-24 23:15:41
"45","A-13","339","Airbus A330-900",2020-05-27 02:06:42
"46","A-13","763","767-300",2020-05-27 02:06:39
"47","A-13","345","A340-500",2020-05-27 02:06:43
"48","A-13","773","777-300",2020-05-27 02:06:42
