"","stand","stand_group"
"1","CG-2-12","8C ASSIGNED"
"2","CG2-1","8C ASSIGNED"
"3","CG2-10","8C ASSIGNED"
"4","CG2-11","8C ASSIGNED"
"5","CG2-13","8C ASSIGNED"
"6","CG2-14","8C ASSIGNED"
"7","CG2-15","8C ASSIGNED"
"8","CG2-2","8C ASSIGNED"
"9","CG2-20","8C ASSIGNED"
"10","CG2-4","8C ASSIGNED"
"11","CG2-5","8C ASSIGNED"
"12","CG2-6","8C ASSIGNED"
"13","CG2-7","8C ASSIGNED"
"14","CG2-8","8C ASSIGNED"
"15","CG2-9","8C ASSIGNED"
"16","CG3-1","8C ASSIGNED"
"17","CG3-2","8C ASSIGNED"
"18","CG4-1","8C ASSIGNED"
"19","CG4-3","8C ASSIGNED"
"20","CG4-5","8C ASSIGNED"
"21","CG4-7","8C ASSIGNED"
"22","CG4-9","8C ASSIGNED"
"23","CG6-1","8C ASSIGNED"
"24","CG6-2","8C ASSIGNED"
"25","CG6-3","8C ASSIGNED"
"26","CG6-4","8C ASSIGNED"
"27","CG6-5","8C ASSIGNED"
"28","CG6-6","8C ASSIGNED"
"29","CG6-7","8C ASSIGNED"
"30","CG6-8","8C ASSIGNED"
"31","Cg2-20R","8C ASSIGNED"
"32","A-1","A CONCOURSE"
"33","A-10","A CONCOURSE"
"34","A-10A","A CONCOURSE"
"35","A-11","A CONCOURSE"
"36","A-11A","A CONCOURSE"
"37","A-11B","A CONCOURSE"
"38","A-12","A CONCOURSE"
"39","A-12A","A CONCOURSE"
"40","A-12B","A CONCOURSE"
"41","A-13","A CONCOURSE"
"42","A-13A","A CONCOURSE"
"43","A-14","A CONCOURSE"
"44","A-14R","A CONCOURSE"
"45","A-2","A CONCOURSE"
"46","A-3","A CONCOURSE"
"47","A-3A","A CONCOURSE"
"48","A-4","A CONCOURSE"
"49","A-4A","A CONCOURSE"
"50","A-5","A CONCOURSE"
"51","A-6","A CONCOURSE"
"52","A-6A","A CONCOURSE"
"53","A-7","A CONCOURSE"
"54","A-8","A CONCOURSE"
"55","A-8A","A CONCOURSE"
"56","A-9","A CONCOURSE"
"57","A-12","A12 and A13 gate pod"
"58","A-12B","A12 and A13 gate pod"
"59","A-13","A12 and A13 gate pod"
"60","A-13A","A12 and A13 gate pod"
"61","A-7","A7 and A8 gatepod"
"62","A-8","A7 and A8 gatepod"
"63","A-8A","A7 and A8 gatepod"
"64","CG-2-12","AA_ASSIGNED"
"65","CG2-1","AA_ASSIGNED"
"66","CG2-10","AA_ASSIGNED"
"67","CG2-11","AA_ASSIGNED"
"68","CG2-13","AA_ASSIGNED"
"69","CG2-14","AA_ASSIGNED"
"70","CG2-15","AA_ASSIGNED"
"71","CG2-16","AA_ASSIGNED"
"72","CG2-2","AA_ASSIGNED"
"73","CG2-20","AA_ASSIGNED"
"74","CG2-3","AA_ASSIGNED"
"75","CG2-3R","AA_ASSIGNED"
"76","CG2-4R","AA_ASSIGNED"
"77","CG2-9","AA_ASSIGNED"
"78","CG3-1","AA_ASSIGNED"
"79","CG3-2","AA_ASSIGNED"
"80","CG3-2R","AA_ASSIGNED"
"81","CG4-1","AA_ASSIGNED"
"82","CG4-3","AA_ASSIGNED"
"83","CG4-5","AA_ASSIGNED"
"84","CG4-7","AA_ASSIGNED"
"85","CG4-9","AA_ASSIGNED"
"86","CG6-1","AA_ASSIGNED"
"87","CG6-2","AA_ASSIGNED"
"88","CG6-3","AA_ASSIGNED"
"89","CG6-4","AA_ASSIGNED"
"90","CG6-5","AA_ASSIGNED"
"91","Cg2-20R","AA_ASSIGNED"
"92","D-10","AA_ASSIGNED"
"93","D-11","AA_ASSIGNED"
"94","D-9","AA_ASSIGNED"
"95","A-11","AOS Printout"
"96","A-11A","AOS Printout"
"97","A-11B","AOS Printout"
"98","A-12","AOS Printout"
"99","A-12A","AOS Printout"
"100","A-12B","AOS Printout"
"101","A-7","AOS Printout"
"102","B-15","AOS Printout"
"103","CG2-1","AOS Printout"
"104","CG2-10","AOS Printout"
"105","CG2-11","AOS Printout"
"106","CG2-13","AOS Printout"
"107","CG2-15","AOS Printout"
"108","CG2-2","AOS Printout"
